"","","","f1"
"209",-0.27,-0.41,-0.4941391986708
"210",2.59,-0.18,-3.27299816339745
"211",1.01,0.74,1.85299816339745
"212",2.7,-0.27,-3.43249816339745
"213",1.79,-0.62,-2.56099816339745
"214",2.51,0.12,3.43979816339745
"215",-0.18,-0.01,0.0744731836039421
"216",3.27,0.63,4.07229816339745
"217",0.2,0.37,1.00229816339745
"218",2.85,-0.37,-3.61849816339745
"219",2.83,0.8,3.70539816339745
"220",0.06,-0.43,-0.840498163397448
"221",2.18,0.49,2.96549816339745
"222",2.57,0.5,3.35539816339745
"223",1.9,-0.85,-2.56289816339745
"224",1,0.85,1.90789816339745
"225",0.99,0.43,1.78029816339745
"226",1.46,-0.78,-2.16699816339745
"227",0.17,0.62,0.969798163397448
"228",0.21,-0.8,-0.905398163397448
"229",-0.34,0.19,0.267009290521454
"230",2.11,0.8,2.98539816339745
"231",3.13,0.32,3.94779816339745
"232",1.45,-0.45,-2.23289816339745
"233",0.62,-0.81,-1.30929816339745
"234",3.08,-0.2,-3.77539816339745
"235",0.35,0.11,1.28749816339745
"236",0.03,-0.87,-0.678498163397448
"237",3.26,-0.62,-4.03099816339745
"238",1.31,0.82,2.19779816339745
"239",2.66,-0.51,-3.44529816339745
"240",2.36,0.41,3.15349816339745
"241",0.99,-0.17,-1.66649816339745
"242",0.8,-0.3,-1.54539816339745
"243",1.11,-0.26,-1.83779816339745
"244",-0.25,-0.08,-0.0984395672393619
"245",2.49,0.59,3.28349816339745
"246",2.12,-0.82,-2.80299816339745
"247",0.18,0.34,0.990998163397448
"248",0.19,0.66,1.00099816339745
"249",0.88,-0.61,-1.65329816339745
"250",0.77,-0.74,-1.49779816339745
"251",-0.6,-0.31,-0.207697694028889
"252",1.1,-0.23,-1.81249816339745
"253",-0.11,-0.69,-0.666866280619142
"254",2.23,0.57,3.02029816339745
"255",2.45,0.58,3.24179816339745
"256",3.29,0.4,4.08539816339745
"257",0.01,0.15,0.917898163397448
"258",1.19,0.82,2.07779816339745
"259",2.21,0.67,3.02429816339745
"260",2.71,-0.16,-3.37979816339745
"261",1.43,-0.43,-2.21049816339745
"262",1.22,0.6,2.01539816339745
"263",1.7,-0.61,-2.47329816339745
"264",1.98,-0.1,-2.60539816339745
"265",0.95,-0.85,-1.61289816339745
"266",0.72,0.84,1.62099816339745
"267",-0.2,0.28,0.499580409724332
"268",1.3,0.42,2.09179816339745
"269",-0.73,0.42,0.378146305608188
"270",1.37,0.1,2.31539816339745
"271",3.12,-0.68,-3.87299816339745
"272",1.96,0.76,2.81299816339745
"273",2.63,-0.84,-3.29979816339745
"274",1.46,0.73,2.29829816339745
"275",1.99,-0.85,-2.65289816339745
"276",1.38,-0.57,-2.16049816339745
"277",2.81,0.2,3.68539816339745
"278",0.64,-0.41,-1.41729816339745
"279",2.19,-0.55,-2.97289816339745
"280",2.05,0.29,2.87949816339745
"281",0.53,0.16,1.43099816339745
"282",-0.75,0.23,0.229706516070695
"283",1.14,-0.61,-1.91329816339745
"284",-0.37,0.19,0.244267254534245
"285",2.31,-0.48,-3.09499816339745
"286",0.6,-0.54,-1.38379816339745
"287",2.74,0.89,3.67749816339745
"288",0.06,-0.41,-0.837298163397448
"289",-0.33,0.63,0.588745340418428
"290",2.7,0.5,3.48539816339745
"291",-0.56,0.61,0.52168356423482
"292",0.54,-0.23,-1.25249816339745
"293",-0.57,0.09,0.0842394166408673
"294",0.63,-0.86,-1.28579816339745
"295",0.24,-0.17,-0.916498163397448
"296",3.19,-0.76,-3.90779816339745
"297",-0.46,0.19,0.19585528419354
"298",0.41,0.87,1.33229816339745
"299",2.22,0.54,3.00699816339745
"300",1.55,-0.72,-2.28699816339745
"301",2.98,0.29,3.80949816339745
"302",0.06,-0.44,-0.841798163397448
"303",2.77,-0.89,-3.40329816339745
"304",0.78,-0.76,-1.49779816339745
"305",2.33,0.86,3.24499816339745
"306",0.65,0.7,1.47539816339745
"307",-0.09,0.28,0.672290199697623
"308",-0.65,-0.52,-0.226876621978047
"309",0.81,0.74,1.65299816339745
"310",2.71,0.26,3.55299816339745
"311",0.17,-0.48,-0.954998163397448
"312",0.54,0.57,1.33029816339745
"313",0.92,-0.25,-1.64289816339745
"314",-0.61,0.62,0.533493948226115
"315",2.46,0.16,3.36099816339745
"316",0.12,-0.68,-0.872998163397448
"317",2.04,0.67,2.85429816339745
"318",0.57,0.18,1.45779816339745
"319",-0.24,-0.52,-0.563907118143233
"320",0.38,0.46,1.16699816339745
"321",1.37,-0.59,-2.14729816339745
"322",1.46,-0.42,-2.23899816339745
"323",2.78,-0.43,-3.56049816339745
"324",1.9,0.3,2.72539816339745
"325",0.52,-0.65,-1.28289816339745
"326",2.43,0.27,3.26829816339745
"327",2.17,0.24,3.02299816339745
"328",2.32,-0.72,-3.05699816339745
"329",0.05,0.61,0.847498163397448
"330",0.25,0.59,1.04349816339745
"331",2.36,0.72,3.19379816339745
"332",0.73,0.72,1.56379816339745
"333",-0.29,-0.55,-0.527956329382173
"334",1.92,0.11,2.85749816339745
"335",0.63,-0.5,-1.41539816339745
"336",1.65,0.68,2.46779816339745
"337",0.59,-0.31,-1.33929816339745
"338",-0.08,0.29,0.690482237874772
"339",-0.32,-0.65,-0.506260566916634
"340",2.17,-0.78,-2.87699816339745
"341",1.01,0.2,1.88539816339745
"342",1.35,0.6,2.14539816339745
"343",-0.41,0.5,0.463482812105037
"344",-0.73,0.05,0.087882846598183
"345",1.64,0.7,2.46539816339745
"346",1.98,0.75,2.82789816339745
"347",0.45,0.47,1.23629816339745
"348",0.35,0.12,1.27979816339745
"349",3.08,-0.45,-3.86289816339745
"350",2.66,0.74,3.50299816339745
"351",2.15,-0.32,-2.90299816339745
"352",2.6,-0.43,-3.38049816339745
"353",3.35,-0.57,-4.13049816339745
"354",-0.74,-0.17,-0.0456818116808063
"355",0.1,0.3,0.925398163397448
"356",2.86,-0.6,-3.63539816339745
"357",0.32,0.49,1.10549816339745
"358",-0.33,0.32,0.386633583425978
"359",1.01,-0.24,-1.72779816339745
"360",1.31,0.13,2.23229816339745
"361",2.11,-0.32,-2.86299816339745
"362",0.11,0.7,0.935398163397448
"363",1.93,0.64,2.73499816339745
"364",1.53,0.13,2.45229816339745
"365",1.98,0.12,2.90979816339745
"366",0.41,-0.53,-1.19449816339745
"367",1.79,0.25,2.63789816339745
"368",-0.45,0.3,0.295668610454185
"369",3.01,0.6,3.80539816339745
"370",1.02,-0.4,-1.79539816339745
"371",2.81,0.27,3.64829816339745
"372",0.25,-0.48,-1.03499816339745
"373",-0.54,0.18,0.165665298368013
"374",2.64,0.81,3.52149816339745
"375",1.77,-0.65,-2.53289816339745
"376",0.24,0.43,1.03029816339745
"377",-0.35,-0.8,-0.439905402427404
"378",3.03,0.41,3.82349816339745
"379",0.05,-0.34,-0.809798163397448
"380",-0.2,0.26,0.487125960939546
"381",-0.29,-0.49,-0.513386058839712
"382",1.28,-0.45,-2.06289816339745
"383",-0.58,-0.26,-0.19231954672673
"384",1.45,0.7,2.27539816339745
"385",1.84,-0.82,-2.52299816339745
"386",-0.75,-0.09,0.0055048382699805
"387",0.18,0.31,1.00149816339745
"388",2.21,-0.67,-2.96649816339745
"389",0.35,-0.51,-1.13529816339745
"390",1.22,-0.58,-1.99899816339745
"391",2.41,-0.55,-3.19289816339745
"392",1.98,-0.4,-2.75539816339745
"393",2.09,0.75,2.93789816339745
"394",2.49,-0.6,-3.26539816339745
"395",1.85,0.51,2.63549816339745
"396",1.78,0.4,2.57539816339745
"397",1.01,0.45,1.79789816339745
"398",1.98,0.22,2.84379816339745
"399",3.31,0.38,4.10979816339745
"400",3.15,0.4,3.94539816339745
"401",1.98,-0.19,-2.66929816339745
"402",0.48,0.8,1.35539816339745
"403",1.07,-0.83,-1.74649816339745
"404",1.58,0.31,2.40149816339745
"405",2.76,0.3,3.58539816339745
"406",3.15,0.35,3.95789816339745
"407",2.58,-0.42,-3.35899816339745
"408",2.07,0.29,2.89949816339745
"409",0.43,0.85,1.33789816339745
"410",0.03,0.14,0.944998163397448
"411",0.53,-0.47,-1.31449816339745
"412",2.82,-0.55,-3.60289816339745
"413",-0.56,0.05,0.048397079442425
"414",3.24,0.6,4.03539816339745
"415",3.23,-0.78,-3.93699816339745
"416",0.03,0.63,0.832298163397448
"417",-0.57,0.06,0.0577892741288329
"418",2.97,-0.89,-3.60329816339745
"419",0.28,-0.41,-1.05729816339745
"420",3.34,-0.48,-4.12499816339745
"421",0.9,0.16,1.80099816339745
"422",3.07,-0.81,-3.75929816339745
"423",0.69,-0.29,-1.43129816339745
"424",1.81,0.45,2.59789816339745
"425",1.55,-0.44,-2.33179816339745
"426",0.36,-0.43,-1.14049816339745
"427",1.58,-0.46,-2.36379816339745
"428",0.23,-0.76,-0.947798163397448
"429",0.89,0.52,1.67579816339745
"430",0.05,-0.89,-0.683298163397448
"431",-0.03,-0.76,-0.697763437641185
"432",2.6,-0.34,-3.35979816339745
"433",2.68,-0.76,-3.39779816339745
"434",1.01,0.27,1.84829816339745
"435",-0.27,-0.7,-0.538699397010974
"436",0.34,-0.82,-1.02299816339745
"437",-0.18,-0.13,-0.23547855323136
"438",1.97,-0.47,-2.75449816339745
"439",2.08,0.31,2.90149816339745
"440",2.43,-0.57,-3.21049816339745
"441",1.22,0.48,2.00579816339745
"442",3.28,0.57,4.07029816339745
"443",2.1,0.25,2.94789816339745
"444",0.11,-0.88,-0.750998163397448
"445",1.44,-0.52,-2.22499816339745
"446",0,0.24,0.852998163397448
"447",0.12,0.75,0.967898163397448
"448",-0.8,0.28,0.28915260567668
"449",0.53,-0.65,-1.29289816339745
"450",0.63,-0.7,-1.37539816339745
"451",1.48,0.39,2.27749816339745
"452",0.35,-0.66,-1.10979816339745
"453",-0.7,0.4,0.353347282293407
"454",1.88,-0.56,-2.66179816339745
"455",1.4,0.12,2.32979816339745
"456",2.48,0.54,3.26699816339745
"457",0.38,-0.32,-1.13299816339745
"458",2.39,-0.7,-3.13539816339745
"459",-0.8,0.31,0.312979441245585
"460",1,0.21,1.86949816339745
"461",0.57,-0.8,-1.26539816339745
"462",0.57,-0.63,-1.33849816339745
"463",2.95,-0.59,-3.72729816339745
"464",0.09,0.35,0.897898163397448
"465",2.08,0.9,3.02539816339745
"466",1,-0.63,-1.76849816339745
"467",0.94,-0.4,-1.71539816339745
"468",1.03,0.3,1.85539816339745
"469",2.87,-0.44,-3.65179816339745
"470",2.97,-0.27,-3.70249816339745
"471",1.47,0.61,2.26749816339745
"472",-0.28,-0.16,-0.228063367055203
"473",0.57,0.2,1.44539816339745
"474",1.21,0.74,2.05299816339745
"475",0.87,-0.76,-1.58779816339745
"476",1.01,0.89,1.94749816339745
"477",-0.19,0.36,0.551224468007762
"478",3.15,-0.79,-3.85129816339745
"479",1.13,0.42,1.92179816339745
"480",2.33,0.28,3.16379816339745
"481",0.68,0.25,1.52789816339745
"482",0.55,0.7,1.37539816339745
"483",-0.49,0.06,0.0609614166220593
"484",3.14,0.48,3.92579816339745
"485",1.9,-0.4,-2.67539816339745
"486",1.26,0.2,2.13539816339745
"487",1.89,-0.8,-2.58539816339745
"488",1.15,0.26,1.99299816339745
"489",1.42,0.62,2.21979816339745
"490",1.39,-0.73,-2.12249816339745
"491",0.32,-0.73,-1.05249816339745
"492",0.94,-0.43,-1.72049816339745
"493",2.74,0.8,3.61539816339745
"494",1.3,-0.19,-1.98929816339745
"495",-0.11,-0.12,-0.300712735355487
"496",1.01,0.64,1.81499816339745
"497",-0.44,0.26,0.266976802252405
"498",3.15,0.31,3.97149816339745
"499",2.57,0.82,3.45779816339745
"500",1.62,0.13,2.54229816339745
"501",0.16,0.4,0.955398163397448
"502",1.95,-0.22,-2.65699816339745
"503",1.04,0.31,1.86149816339745
"504",2.53,0.37,3.33229816339745
"505",2.4,-0.26,-3.12779816339745
"506",2.55,-0.81,-3.23929816339745
"507",0.9,-0.37,-1.66849816339745
"508",2.54,-0.66,-3.29979816339745
"509",2.87,0.28,3.70379816339745
"510",-0.59,0.14,0.12780690210673
"511",2.85,0.57,3.64029816339745
"512",2.68,0.38,3.47979816339745
"513",2.01,0.18,2.89779816339745
"514",2.86,0.36,3.66499816339745
"515",1.06,0.5,1.84539816339745
"516",2.44,0.22,3.30379816339745
"517",0.2,0.66,1.01099816339745
"518",0.73,-0.23,-1.44249816339745
"519",3.14,0.72,3.97379816339745
"520",-0.27,-0.05,-0.0407460129861617
"521",2.58,0.43,3.37029816339745
"522",-0.06,0.71,0.788414096041403
"523",2.83,-0.61,-3.60329816339745
"524",-0.12,-0.2,-0.444026489055968
"525",-0.04,0.34,0.751698935741542
"526",2.03,0.85,2.93789816339745
"527",0.13,-0.71,-0.871298163397448
"528",3.29,-0.72,-4.02699816339745
"529",3.07,0.85,3.97789816339745
"530",-0.76,-0.26,-0.0728556288312995
"531",-0.68,0.49,0.42655244410131
"532",1.25,0.62,2.04979816339745
"533",-0.2,0.38,0.548140987807259
"534",0.76,-0.15,-1.42289816339745
"535",-0.52,0.58,0.497771126053072
"536",2.99,-0.36,-3.75579816339745
"537",3.12,0.41,3.91349816339745
"538",2.76,-0.29,-3.50129816339745
"539",-0.71,0.22,0.209435146820365
"540",2.37,-0.24,-3.08779816339745
"541",2.54,0.11,3.47749816339745
"542",0.59,-0.22,-1.29699816339745
"543",2.95,-0.37,-3.71849816339745
"544",3.19,-0.49,-3.97529816339745
"545",1.29,0.17,2.18429816339745
"546",1.89,-0.43,-2.67049816339745
"547",-0.31,-0.25,-0.328977400408954
"548",0.65,0.33,1.46429816339745
"549",3.23,0.3,4.05539816339745
"550",1.66,-0.6,-2.43539816339745
"551",1.13,-0.59,-1.90729816339745
"552",3.3,0.6,4.09539816339745
"553",1.67,0.69,2.49149816339745
"554",1.33,0.59,2.12349816339745
"555",2.05,0.66,2.86099816339745
"556",3.06,-0.32,-3.81299816339745
"557",2.76,-0.84,-3.42979816339745
"558",2.54,0.75,3.38789816339745
"559",2.71,-0.61,-3.48329816339745
"560",3.15,0.51,3.93549816339745
"561",2.49,-0.21,-3.19129816339745
"562",1.42,-0.33,-2.17649816339745
"563",2.88,0.85,3.78789816339745
"564",1.03,-0.63,-1.79849816339745
"565",0.46,-0.25,-1.18289816339745
"566",2.07,-0.7,-2.81539816339745
"567",3.25,-0.5,-4.03539816339745
"568",2.31,-0.22,-3.01699816339745
"569",0.9,-0.89,-1.53329816339745
"570",-0.55,-0.62,-0.314472299892662
"571",0.65,0.24,1.50299816339745
"572",-0.62,-0.6,-0.252889278949641
"573",1.34,0.32,2.15779816339745
"574",0.5,0.3,1.32539816339745
"575",2.46,0.57,3.25029816339745
"576",1.31,0.36,2.11499816339745
"577",0.74,0.29,1.56949816339745
"578",0.27,-0.4,-1.04539816339745
"579",0.44,0.77,1.29829816339745
"580",2.38,-0.79,-3.08129816339745
"581",3.06,-0.22,-3.76699816339745
"582",0.86,-0.84,-1.52979816339745
"583",0.38,0.36,1.18499816339745
"584",1.45,-0.5,-2.23539816339745
"585",0.27,-0.46,-1.05379816339745
"586",0.4,0.89,1.33749816339745
"587",0.37,-0.69,-1.11929816339745
"588",1.72,-0.55,-2.50289816339745
"589",0.48,0.83,1.37429816339745
"590",1.26,-0.62,-2.03099816339745
"591",-0.05,-0.37,-0.702200536472854
"592",0.69,-0.26,-1.41779816339745
"593",-0.19,0.61,0.653717268683792
"594",1.35,0.35,2.15789816339745
"595",0.57,0.31,1.39149816339745
"596",2.81,0.33,3.62429816339745
"597",2.95,-0.85,-3.61289816339745
"598",1.74,0.67,2.55429816339745
"599",3.15,-0.48,-3.93499816339745
"600",1.34,0.27,2.17829816339745
"601",-0.58,-0.21,-0.160039801990805
"602",1.46,0.32,2.27779816339745
"603",-0.42,-0.18,-0.200592279494376
"604",0.77,0.77,1.62829816339745
"605",2.73,0.52,3.51579816339745
"606",-0.66,-0.41,-0.201216742834311
"607",1.18,-0.5,-1.96539816339745
"608",2.63,0.15,3.53789816339745
"609",1.02,-0.69,-1.76929816339745
"610",0.45,-0.51,-1.23529816339745
"611",2.77,0.68,3.58779816339745
"612",1.37,-0.26,-2.09779816339745
"613",1.77,0.35,2.57789816339745
"614",1.06,-0.81,-1.74929816339745
"615",1.96,0.62,2.75979816339745
"616",0.92,-0.83,-1.59649816339745
"617",1.24,-0.22,-1.94699816339745
"618",0.48,-0.3,-1.22539816339745
"619",-0.5,-0.28,-0.249906112234164
"620",1.03,-0.85,-1.69289816339745
"621",3.31,0.52,4.09579816339745
"622",1.22,0.82,2.10779816339745
"623",0.15,0.84,1.05099816339745
"624",2.46,0.49,3.24549816339745
"625",2.02,0.38,2.81979816339745
"626",0.91,-0.12,-1.55099816339745
"627",2.73,0.17,3.62429816339745
"628",3.17,0.77,4.02829816339745
"629",0.54,0.64,1.34499816339745
"630",-0.07,-0.36,-0.671616571194928
"631",0.45,-0.69,-1.19929816339745
"632",1.24,0.56,2.02899816339745
"633",2.49,-0.57,-3.27049816339745
"634",0.37,-0.51,-1.15529816339745
"635",0.53,0.3,1.35539816339745
"636",1.36,-0.79,-2.06129816339745
"637",1.87,0.3,2.69539816339745
"638",-0.33,0.73,0.66379326312048
"639",2.46,-0.63,-3.22849816339745
"640",0.14,-0.78,-0.846998163397448
"641",2.4,0.6,3.19539816339745
"642",-0.85,0.16,0.226201345927753
"643",2,0.54,2.78699816339745
"644",0.31,0.36,1.11499816339745
"645",1.63,0.36,2.43499816339745
"646",-0.32,-0.75,-0.484271427813878
"647",0.21,-0.81,-0.899298163397448
"648",1.93,0.6,2.72539816339745
"649",1.54,-0.65,-2.30289816339745
"650",2.88,-0.4,-3.65539816339745
"651",1.01,-0.18,-1.69299816339745
"652",2.44,-0.52,-3.22499816339745
"653",1.81,0.46,2.59699816339745
"654",2.02,0.88,2.94979816339745
"655",-0.74,0.14,0.157562819608946
"656",2.85,-0.49,-3.63529816339745
"657",1.86,-0.45,-2.64289816339745
"658",2,0.34,2.81099816339745
"659",0.51,0.63,1.31229816339745
"660",-0.46,0.45,0.407798775629511
"661",1.78,-0.19,-2.46929816339745
"662",2.58,-0.8,-3.27539816339745
"663",0.44,-0.37,-1.20849816339745
"664",2.88,0.4,3.67539816339745
"665",2.97,0.71,3.79949816339745
"666",0.4,-0.79,-1.10129816339745
"667",0.77,-0.39,-1.54329816339745
"668",-0.06,0.17,0.717974292397227
"669",-0.16,0.59,0.665379429821437
"670",1.49,0.42,2.28179816339745
"671",2.55,0.73,3.38829816339745
"672",1.52,0.44,2.30899816339745
"673",0.4,-0.64,-1.16579816339745
"674",2.46,-0.39,-3.23329816339745
"675",1.38,-0.55,-2.16289816339745
"676",0.27,0.75,1.11789816339745
"677",-0.06,0.11,0.676125161695967
"678",0.72,-0.36,-1.48579816339745
"679",2.1,-0.26,-2.82779816339745
"680",1.51,-0.15,-2.17289816339745
"681",3.22,0.29,4.04949816339745
"682",1.41,-0.71,-2.15129816339745
"683",2.62,0.68,3.43779816339745
"684",-0.07,-0.5,-0.715826415110986
"685",2.76,0.15,3.66789816339745
"686",2.73,0.37,3.53229816339745
"687",0.01,-0.49,-0.795298163397448
"688",0.09,0.23,0.948298163397448
"689",0.96,0.13,1.88229816339745
"690",1.21,0.72,2.04379816339745
"691",2.31,0.65,3.11789816339745
"692",-0.02,0.52,0.766592395136547
"693",0.69,0.75,1.53789816339745
"694",2.24,0.65,3.04789816339745
"695",2.41,-0.7,-3.15539816339745
